frame,u,v
0,0.42523643465741773,0.7880348688951544
0,0.3722484478563427,0.8407710320970169
0,0.6432504243636978,0.10499045130712022
1,0.39394187082329823,0.7417519677957367
1,0.38098475691380523,0.7894039749908294
1,0.6940002754227469,0.09590517401908831
2,0.3607248647034567,0.7118274423338479
2,0.38417710213340306,0.7374184573793382
2,0.7421696692034473,0.09534870426205115
3,0.32432360742370836,0.6834637289923202
3,0.3877242591581374,0.6848358271422554
3,0.7923838039383843,0.09638981174651967
4,0.27926088140960675,0.6421708000001272
4,0.3912380376483714,0.6332212491733187
4,0.8419400739177993,0.0876099190305275
5,0.2653461648168072,0.6021586016614007
5,0.388413797519061,0.5789910279751596
5,0.892859390286727,0.07919912130224531
